Model,PSNR,SSIM,LPIPS,SAM,MAE,ERGAS,SCC,NDVI_RMSE,RMSE_Total,RMSE_Green,RMSE_Red,RMSE_NIR,Bucket
Baseline (Cloudy No-op),7.78205418586731,0.005247709496567647,0.36878356834252674,0.5918725,85.0248285929362,81.91524413637383,-0.0019499941890562577,0.6786457101504008,104.09690475463867,104.22746404012044,104.02027130126953,104.0425516764323,Overall (0-100%)
LaMa (Optical-only),6.03041688601176,0.004673886578530073,0.384578471382459,0.7771501,106.1157455444336,100.21895126839802,-0.0009966103668454741,0.759720136721929,127.35598754882812,127.4988390604655,127.22945785522461,127.33891932169597,Overall (0-100%)
OpenCV (Telea),8.896820386250814,0.007056491061424215,0.48969704906145733,0.51895326,75.39117177327473,72.04709284017025,-0.002202788378971673,0.5942569573720297,91.55865859985352,91.6451021830241,91.45861434936523,91.57197697957356,Overall (0-100%)
SAR-Fusion,6.034022410710652,0.003667399908105532,0.39181331793467206,0.96850806,106.06142298380534,100.1770725493099,0.0012252444030688284,0.6853105227152506,127.3031997680664,127.3281847635905,127.11931737263997,127.46156183878581,Overall (0-100%)
Baseline (Cloudy No-op),7.776639461517334,0.004685259540565312,0.3667277842760086,0.59257233,85.04896926879883,82.00658020796217,-0.000494478254860762,0.6806455254554749,104.16180419921875,104.26930236816406,103.9618034362793,104.25373077392578,Moderate (20-50%)
Baseline (Cloudy No-op),7.784761548042297,0.005528934474568814,0.3698114603757858,0.59152263,85.01275825500488,81.86957610057966,-0.0026777521561540058,0.6776458024978638,104.06445503234863,104.20654487609863,104.04950523376465,103.93696212768555,Thick (>50%)
LaMa (Optical-only),6.029568433761597,0.0038572883931919932,0.381025567650795,0.7766894,106.0794792175293,100.27781870130426,0.002232228063571777,0.7604654729366302,127.36844635009766,127.52615737915039,127.00148010253906,127.57652282714844,Moderate (20-50%)
LaMa (Optical-only),6.030841112136841,0.005082185671199113,0.386354923248291,0.77738047,106.13387870788574,100.18951755194489,-0.0026110295820540993,0.7593474686145782,127.34975814819336,127.48517990112305,127.34344673156738,127.22011756896973,Thick (>50%)
OpenCV (Telea),8.883347511291504,0.006122922524809837,0.4848131835460663,0.51986575,75.49011611938477,72.19439010369575,-0.002035487634695693,0.5960260629653931,91.70073699951172,91.76510238647461,91.50236511230469,91.83436584472656,Moderate (20-50%)
OpenCV (Telea),8.903556823730469,0.007523275329731405,0.49213898181915283,0.518497,75.34169960021973,71.97344420840749,-0.002286438751109663,0.5933724045753479,91.48761940002441,91.58510208129883,91.43673896789551,91.44078254699707,Thick (>50%)
SAR-Fusion,6.043720960617065,0.0044573573395609856,0.3839345872402191,0.9667003,105.8691635131836,100.11443092693801,0.004926937292211902,0.6851154267787933,127.16108322143555,127.11740112304688,126.9061279296875,127.45887756347656,Moderate (20-50%)
SAR-Fusion,6.029173135757446,0.0032724211923778057,0.3957526832818985,0.969412,106.15755271911621,100.20839336049582,-0.0006256020415027088,0.6854080706834793,127.37425804138184,127.4335765838623,127.22591209411621,127.46290397644043,Thick (>50%)
